recipe_tag	coefficient
bias	0.40331928920191357
alfredo	0.10289617075673758
almond	0.12882232494240953
american	-0.05927129013385914
appetizer	-0.07310408507906344
appetizers	0.06873635708150441
apple	-0.0374722438484799
asiancuisine	0.023153038188057293
asparagus	0.13660724473795074
avocado	-0.08569522177689785
bacon	0.09351407207402979
baked	-0.017309854242736525
bakeddishes	-0.012440971361862091
bakery	0.02817586262072959
baking	-0.02376848969936249
beans	0.02893701409659159
beef	-0.09931528069726982
bellpeppers	-0.033222796077164524
berries	0.0006899305160379632
blackbeans	-0.033222796077164524
blackvinegar	0.04700786112409395
blueberry	-0.06506141342182101
boiledeggs	-0.0002708526225462115
bokchoy	-0.0002708526225462115
braided	-0.012195015361200046
bread	0.02288074710653058
breaded	-0.02629183210384548
breakfast	0.024886305317502147
breakfastpastry	-0.01419172790231925
brioche	0.05294756162150281
broiling	0.041682907990646
brownies	0.0544502355907661
brownsugar	0.09261599737893027
brunch	0.08472760431537842
burger	0.08174866398797506
burritos	-0.04129788495307135
buttery	0.04438745383320013
cake	0.03202256420487758
carrots	-0.0002708526225462115
casserole	0.10442208891672948
celebration	-0.012139856593381048
cheese	-0.006507622811171981
cheesy	-0.005028647226414246
cherry	-0.1030348999568251
chicken	0.0752082450960064
chickpeas	0.08174866398797506
chilioil	0.12323256911639016
chilipowder	-0.033222796077164524
chinese	0.0483308548113243
chinesecookingwine	0.0762247079922962
chinesecuisine	-0.03175622814533569
chocolate	0.24694109324523011
chocolatechip	0.11394474155064965
chocolatecroissant	-0.01419172790231925
christmas	0.019964049372678316
cilantro	-0.014939301504011446
cinnamon	0.013477147162808428
citrus	-0.04168464198032753
classic	-0.01889073331939292
cloves	-0.05472942984218694
cobbler	-0.041950947920697576
cocoapowder	0.043776047522473535
coffee	0.03219661228701397
cold	0.0483308548113243
coldnoodles	0.07157791013767534
comfortfood	0.0171965256193502
condiment	-0.051186349089652305
cookies	0.11018881806319275
corn	-0.012139856593381048
cranberry	0.03872439635622982
creamcheese	0.08346616957534343
creamy	-0.010045868236880182
crisp	-0.0559475850981551
crispy	-0.05456479305009106
croissant	0.03219661228701397
croissants	0.11530590664123644
crumble	-0.07344182120780145
crust	-0.05472942984218694
cucumber	0.07157791013767534
cumin	-0.033222796077164524
cupcakes	0.06836230940696897
custard	-0.10277068029279286
custardy	0.05577691179085906
customizable	0.1091618387567979
danish	0.08346616957534343
dashibroth	0.10621215727404285
dates	-0.04842000568296227
decadent	0.06581230786740273
dessert	0.15354857439054753
dinner	-0.036009553861760704
dip	0.07709285747918143
donuts	-0.03564171286847663
easterneuropean	-0.012195015361200046
easy	-0.07255748571030937
easydinner	-0.10995317074092884
egg	0.01869698905443158
eggs	-0.07354246353015281
eggwhites	-0.10263414071403737
fajitaseasoning	0.015090697135782498
fall	-0.056598464401671725
familyfriendly	-0.005531081824199355
fastfood	-0.02629183210384548
fetacheese	0.10258365170371028
filling	0.017375373104178138
fingerfood	-0.06821382643674098
flaky	-0.003334894176843779
french	-0.13178641173293845
frenchcuisine	0.111841850956339
frenchpastry	0.04618074700542431
fresh	-0.00034820607970337085
fried	-0.14621717685854244
friedfood	0.001703597907007047
friedrice	-0.09178646565261976
fries	-0.009033507510065016
frosting	0.10038487361184655
fruit	-0.09154644181196003
fudgy	0.07800732322860278
gamedayfood	-0.1379148661963034
ganache	-0.011753483317595962
garlic	0.013904497425776867
ginger	0.0762247079922962
glutenfree	0.019565434052646616
goldenbrown	-0.005657394141037338
greenbeans	0.03839435630231871
greenonion	-0.06232021056651934
greenonions	-0.04156873757561756
grill	0.08174866398797506
grilled	-0.1021204992712911
grilling	0.041682907990646
groundbeef	0.07282743606648745
gruyere	0.13768859510235068
gruyerecheese	0.0574041363148972
guacamole	0.010804915155209562
hamandcheese	0.08346616957534343
hamburger	-0.051711518317955986
handheld	0.1091618387567979
handtorndough	0.04317391877249489
hawaii	-0.051711518317955986
hawaiian	0.06843160554929484
healthy	0.07034940716389065
herbs	0.03817710138770178
holiday	0.007824192779297266
homemade	0.15244857300208112
indulgent	0.06836230940696897
italian	-0.07261852070968233
italiancuisine	0.10289617075673758
jalapenos	-0.009033507510065016
japanesecuisine	0.09463555608256484
juicy	0.03994086549049541
ketchup	-0.051711518317955986
keto	0.1416162651377158
kidfriendly	-0.06821382643674098
koreancuisine	0.04317391877249489
laminateddough	0.02817586262072959
lasagna	-0.07207289661332303
lattice	-0.05472942984218694
